Date,Transaction Description,Category,Amount,Type
2026-01-30,Food delivery service.,Food & Drink,1350.91,Expense
2026-01-31,Rent payment time.,Rent,1740.08,Expense
2026-01-31,Electronics purchase.,Shopping,575.17,Expense
2026-02-01,February rent pay.,Rent,1280.0,Expense
2026-02-02,Fitness class fee.,Health & Fitness,340.68,Expense
2026-02-03,Special event food.,Food & Drink,88.25,Expense
2026-02-04,Business trip cost.,Travel,1440.62,Expense
2026-02-05,Rent payment due.,Rent,1250.17,Expense
2026-02-05,Stock dividend income.,Investment,1870.0,Income
2026-02-06,Shopping need item.,Shopping,130.8,Expense
2026-02-07,Conference travel cost.,Travel,2010.15,Expense
2026-02-07,Concert ticket buy.,Entertainment,1390.38,Expense
2026-02-08,Restaurant visit time.,Food & Drink,470.81,Expense
2026-02-08,Side business income.,Other,3850.0,Income
2026-02-09,Weekend show enjoy.,Entertainment,1850.14,Expense
2026-02-10,Weekly planning food.,Food & Drink,70.4,Expense
2026-02-11,Medical checkup need.,Health & Fitness,440.13,Expense
2026-02-12,Car maintenance pay.,Travel,190.75,Expense
2026-02-13,Salary advance pay.,Salary,300.31,Expense
2026-02-14,Special dinner cost.,Food & Drink,230.0,Expense
2026-02-15,Freelance project pay.,Other,4050.0,Income
2026-02-16,Shopping spree time.,Shopping,745.37,Expense
2026-02-16,Utility payment due.,Utilities,1040.96,Expense
2026-02-17,Special sale shopping.,Shopping,161.9,Expense
2026-02-18,Investment return come.,Investment,1420.0,Income
2026-02-19,Dividend income time.,Investment,4000.0,Income
2026-02-20,Home goods purchase.,Shopping,785.42,Expense
2026-02-21,Monthly service pay.,Entertainment,26.99,Expense
2026-02-22,Gas electricity bill.,Utilities,161.8,Expense
2026-02-23,Weekend enjoy cost.,Entertainment,92.5,Expense
2026-02-24,Grocery run need.,Food & Drink,183.3,Expense
2026-02-25,Phone bill payment.,Utilities,88.25,Expense
2026-02-26,Business travel cost.,Travel,1970.45,Expense
2026-02-27,Food delivery order.,Food & Drink,1380.76,Expense
2026-02-28,Consulting income pay.,Other,3340.0,Income
2026-02-28,Part-time work income.,Other,1820.0,Income
2026-03-01,March rent payment.,Rent,1380.0,Expense
2026-03-02,Weekend brunch cost.,Food & Drink,70.8,Expense
2026-03-03,Rent payment time.,Rent,1770.33,Expense
2026-03-04,Entertainment cost.,Entertainment,320.15,Expense
2026-03-04,Restaurant meal enjoy.,Food & Drink,1220.9,Expense
2026-03-05,Monthly gym fee.,Health & Fitness,78.0,Expense
2026-03-06,Public transport pay.,Travel,47.6,Expense
2026-03-07,Office supply need.,Shopping,72.3,Expense
2026-03-08,Weekend shopping time.,Shopping,130.8,Expense
2026-03-09,Rent payment due.,Rent,1880.91,Expense
2026-03-09,Travel expense cost.,Travel,490.51,Expense
2026-03-10,Weekly grocery buy.,Food & Drink,239.5,Expense
2026-03-11,Rent payment time.,Rent,185.45,Expense
2026-03-11,Rent payment due.,Rent,1980.19,Expense
2026-03-12,Utility bill pay.,Utilities,270.5,Expense
2026-03-12,Utility payment time.,Utilities,545.46,Expense
2026-03-13,Medical visit need.,Health & Fitness,130.0,Expense
2026-03-14,Shopping purchase time.,Shopping,1960.08,Expense
2026-03-15,Entertainment cost.,Entertainment,1450.77,Expense
2026-03-16,Relax day expense.,Entertainment,48.25,Expense
2026-03-17,Special day event.,Food & Drink,92.5,Expense
2026-03-18,Health expense need.,Health & Fitness,895.82,Expense
2026-03-19,Car insurance pay.,Travel,190.75,Expense
2026-03-20,Season shopping time.,Shopping,161.9,Expense
2026-03-21,Rent payment due.,Rent,510.33,Expense
2026-03-22,Weekend activity cost.,Entertainment,70.4,Expense
2026-03-23,Investment income time.,Investment,2420.0,Income
2026-03-23,Cafe visit enjoy.,Food & Drink,155.28,Expense
2026-03-24,Entertainment cost.,Entertainment,148.13,Expense
2026-03-25,Monthly bill pay.,Utilities,161.8,Expense
2026-03-26,Grocery run time.,Food & Drink,183.3,Expense
2026-03-27,Pharmacy visit need.,Health & Fitness,48.75,Expense
2026-03-28,Side income receive.,Other,1100.0,Income
2026-03-29,Weekend prepare shop.,Shopping,130.8,Expense
2026-03-30,Relax day cost.,Entertainment,48.25,Expense
2026-03-31,Month end expense.,Other,360.0,Expense
2026-04-01,Travel expense time.,Travel,1360.27,Expense
